
PASS: 995641; IN: 0.718467; expRES: 0.658231; netOUT: 0.65856

PASS: 995642; IN: 0.947264; expRES: 0.811821; netOUT: 0.809507

PASS: 995643; IN: 0.00946074; expRES: 0.0094606; netOUT: 0.0229201

PASS: 995644; IN: 0.240699; expRES: 0.238382; netOUT: 0.239911

PASS: 995645; IN: 0.802545; expRES: 0.719127; netOUT: 0.719707

PASS: 995646; IN: 0.322642; expRES: 0.317073; netOUT: 0.316557

PASS: 995647; IN: 0.728874; expRES: 0.66603; netOUT: 0.665917

PASS: 995648; IN: 0.360118; expRES: 0.352385; netOUT: 0.351405

PASS: 995649; IN: 0.168065; expRES: 0.167275; netOUT: 0.166047

PASS: 995650; IN: 0.384716; expRES: 0.375296; netOUT: 0.375124

PASS: 995651; IN: 0.0763573; expRES: 0.0762831; netOUT: 0.0719916

PASS: 995652; IN: 0.687033; expRES: 0.634246; netOUT: 0.635993

PASS: 995653; IN: 0.166906; expRES: 0.166132; netOUT: 0.165122

PASS: 995654; IN: 0.185858; expRES: 0.18479; netOUT: 0.185181

PASS: 995655; IN: 0.0711081; expRES: 0.0710482; netOUT: 0.0672221

PASS: 995656; IN: 0.135228; expRES: 0.134816; netOUT: 0.132329

PASS: 995657; IN: 0.644032; expRES: 0.600425; netOUT: 0.601766

PASS: 995658; IN: 0.931761; expRES: 0.802671; netOUT: 0.801677

PASS: 995659; IN: 0.373913; expRES: 0.365261; netOUT: 0.366421

PASS: 995660; IN: 0.388836; expRES: 0.379112; netOUT: 0.378949

PASS: 995661; IN: 0.0476394; expRES: 0.0476214; netOUT: 0.0475105

PASS: 995662; IN: 0.276345; expRES: 0.272841; netOUT: 0.275191

PASS: 995663; IN: 0.527085; expRES: 0.503016; netOUT: 0.499711

PASS: 995664; IN: 0.807672; expRES: 0.72268; netOUT: 0.725647

PASS: 995665; IN: 0.837916; expRES: 0.743251; netOUT: 0.743695

PASS: 995666; IN: 0.720664; expRES: 0.659884; netOUT: 0.659606

PASS: 995667; IN: 0.883847; expRES: 0.773184; netOUT: 0.772768

PASS: 995668; IN: 0.264199; expRES: 0.261136; netOUT: 0.263019

PASS: 995669; IN: 0.100772; expRES: 0.100602; netOUT: 0.0955405

PASS: 995670; IN: 0.395764; expRES: 0.385513; netOUT: 0.384856

PASS: 995671; IN: 0.383251; expRES: 0.373938; netOUT: 0.374147

PASS: 995672; IN: 0.443678; expRES: 0.429264; netOUT: 0.428082

PASS: 995673; IN: 0.7734; expRES: 0.698572; netOUT: 0.700828

PASS: 995674; IN: 0.012421; expRES: 0.0124207; netOUT: 0.0244806

PASS: 995675; IN: 0.827265; expRES: 0.736083; netOUT: 0.735687

PASS: 995676; IN: 0.63805; expRES: 0.595631; netOUT: 0.593673

PASS: 995677; IN: 0.38667; expRES: 0.377106; netOUT: 0.377451

PASS: 995678; IN: 0.257485; expRES: 0.254649; netOUT: 0.257076

PASS: 995679; IN: 0.815851; expRES: 0.728309; netOUT: 0.728344

PASS: 995680; IN: 0.565355; expRES: 0.535716; netOUT: 0.532651

PASS: 995681; IN: 0.732109; expRES: 0.668439; netOUT: 0.670929

PASS: 995682; IN: 0.419141; expRES: 0.406976; netOUT: 0.405382

PASS: 995683; IN: 0.996704; expRES: 0.839686; netOUT: 0.835817

PASS: 995684; IN: 0.24601; expRES: 0.243536; netOUT: 0.247741

PASS: 995685; IN: 0.358379; expRES: 0.350757; netOUT: 0.351192

PASS: 995686; IN: 0.521775; expRES: 0.49842; netOUT: 0.496449

PASS: 995687; IN: 0.785455; expRES: 0.707147; netOUT: 0.710391

PASS: 995688; IN: 0.46672; expRES: 0.449959; netOUT: 0.44729

PASS: 995689; IN: 0.304422; expRES: 0.299742; netOUT: 0.30258

PASS: 995690; IN: 0.751823; expRES: 0.682972; netOUT: 0.683697

PASS: 995691; IN: 0.213111; expRES: 0.211501; netOUT: 0.211922

PASS: 995692; IN: 0.863521; expRES: 0.760135; netOUT: 0.759825

PASS: 995693; IN: 0.975005; expRES: 0.827705; netOUT: 0.823998

PASS: 995694; IN: 0.455977; expRES: 0.44034; netOUT: 0.439714

PASS: 995695; IN: 0.0564592; expRES: 0.0564293; netOUT: 0.0545598

PASS: 995696; IN: 0.1554; expRES: 0.154776; netOUT: 0.153869

PASS: 995697; IN: 0.565172; expRES: 0.535561; netOUT: 0.536524

PASS: 995698; IN: 0.492935; expRES: 0.473213; netOUT: 0.472797

PASS: 995699; IN: 0.908017; expRES: 0.788285; netOUT: 0.789669

PASS: 995700; IN: 0.559496; expRES: 0.530759; netOUT: 0.53005

PASS: 995701; IN: 0.939848; expRES: 0.807468; netOUT: 0.807359

PASS: 995702; IN: 0.219672; expRES: 0.21791; netOUT: 0.220341

PASS: 995703; IN: 0.341624; expRES: 0.335018; netOUT: 0.335635

PASS: 995704; IN: 0.918973; expRES: 0.794979; netOUT: 0.794394

PASS: 995705; IN: 0.374493; expRES: 0.3658; netOUT: 0.365526

PASS: 995706; IN: 0.894131; expRES: 0.779665; netOUT: 0.780352

PASS: 995707; IN: 0.830287; expRES: 0.738125; netOUT: 0.739465

PASS: 995708; IN: 0.575335; expRES: 0.544116; netOUT: 0.541312

PASS: 995709; IN: 0.0637532; expRES: 0.06371; netOUT: 0.0608038

PASS: 995710; IN: 0.774743; expRES: 0.699532; netOUT: 0.702897

PASS: 995711; IN: 0.571612; expRES: 0.540988; netOUT: 0.538521

PASS: 995712; IN: 0.516129; expRES: 0.493517; netOUT: 0.493203

PASS: 995713; IN: 0.803583; expRES: 0.719848; netOUT: 0.722919

PASS: 995714; IN: 0.698874; expRES: 0.643356; netOUT: 0.643075

PASS: 995715; IN: 0.878445; expRES: 0.769747; netOUT: 0.769782

PASS: 995716; IN: 0.828913; expRES: 0.737198; netOUT: 0.737937

PASS: 995717; IN: 0.753502; expRES: 0.684197; netOUT: 0.684254

PASS: 995718; IN: 0.420637; expRES: 0.408342; netOUT: 0.40617

PASS: 995719; IN: 0.289468; expRES: 0.285442; netOUT: 0.287998

PASS: 995720; IN: 0.99353; expRES: 0.837958; netOUT: 0.833209

PASS: 995721; IN: 0.685446; expRES: 0.633018; netOUT: 0.635229

PASS: 995722; IN: 0.490097; expRES: 0.470711; netOUT: 0.468503

PASS: 995723; IN: 0.0574969; expRES: 0.0574652; netOUT: 0.0555856

PASS: 995724; IN: 0.0433058; expRES: 0.0432922; netOUT: 0.0443386

PASS: 995725; IN: 0.624836; expRES: 0.584964; netOUT: 0.586338

PASS: 995726; IN: 0.954497; expRES: 0.816023; netOUT: 0.814529

PASS: 995727; IN: 0.170263; expRES: 0.169441; netOUT: 0.169518

PASS: 995728; IN: 0.126774; expRES: 0.126435; netOUT: 0.123452

PASS: 995729; IN: 0.290719; expRES: 0.286641; netOUT: 0.290539

PASS: 995730; IN: 0.662954; expRES: 0.615447; netOUT: 0.615227

PASS: 995731; IN: 0.561205; expRES: 0.532207; netOUT: 0.530576

PASS: 995732; IN: 0.50087; expRES: 0.480189; netOUT: 0.479901

PASS: 995733; IN: 0.240913; expRES: 0.238589; netOUT: 0.241603

PASS: 995734; IN: 0.456221; expRES: 0.440559; netOUT: 0.438696

PASS: 995735; IN: 0.665548; expRES: 0.61749; netOUT: 0.619285

PASS: 995736; IN: 0.487106; expRES: 0.46807; netOUT: 0.466076

PASS: 995737; IN: 0.128483; expRES: 0.12813; netOUT: 0.125274

PASS: 995738; IN: 0.0222175; expRES: 0.0222156; netOUT: 0.0301328

PASS: 995739; IN: 0.978759; expRES: 0.829806; netOUT: 0.828324

PASS: 995740; IN: 0.42201; expRES: 0.409595; netOUT: 0.411378

PASS: 995741; IN: 0.975707; expRES: 0.828099; netOUT: 0.826431

PASS: 995742; IN: 0.698874; expRES: 0.643356; netOUT: 0.646649

PASS: 995743; IN: 0.77279; expRES: 0.698135; netOUT: 0.699232

PASS: 995744; IN: 0.132664; expRES: 0.132275; netOUT: 0.128229

PASS: 995745; IN: 0.871975; expRES: 0.765601; netOUT: 0.766431

PASS: 995746; IN: 0.00531022; expRES: 0.0053102; netOUT: 0.0208218

PASS: 995747; IN: 0.627094; expRES: 0.586794; netOUT: 0.584517

PASS: 995748; IN: 0.969207; expRES: 0.824437; netOUT: 0.822459

PASS: 995749; IN: 0.00189215; expRES: 0.00189215; netOUT: 0.0193079

PASS: 995750; IN: 0.183447; expRES: 0.18242; netOUT: 0.182331

PASS: 995751; IN: 0.930143; expRES: 0.801706; netOUT: 0.801898

PASS: 995752; IN: 0.924924; expRES: 0.798575; netOUT: 0.798856

PASS: 995753; IN: 0.409375; expRES: 0.398036; netOUT: 0.397442

PASS: 995754; IN: 0.529618; expRES: 0.505204; netOUT: 0.504504

PASS: 995755; IN: 0.00790429; expRES: 0.00790421; netOUT: 0.0219922

PASS: 995756; IN: 0.875759; expRES: 0.76803; netOUT: 0.769917

PASS: 995757; IN: 0.404584; expRES: 0.393636; netOUT: 0.39201

PASS: 995758; IN: 0.799402; expRES: 0.716939; netOUT: 0.719582

PASS: 995759; IN: 0.0357677; expRES: 0.0357601; netOUT: 0.0380023

PASS: 995760; IN: 0.470077; expRES: 0.452955; netOUT: 0.44948

PASS: 995761; IN: 0.0196539; expRES: 0.0196527; netOUT: 0.0281382

PASS: 995762; IN: 0.465316; expRES: 0.448705; netOUT: 0.447887

PASS: 995763; IN: 0.389538; expRES: 0.379761; netOUT: 0.38071

PASS: 995764; IN: 0.699942; expRES: 0.644173; netOUT: 0.64594

PASS: 995765; IN: 0.419355; expRES: 0.407171; netOUT: 0.405192

PASS: 995766; IN: 0.109592; expRES: 0.109373; netOUT: 0.104622

PASS: 995767; IN: 0.592486; expRES: 0.558425; netOUT: 0.559978

PASS: 995768; IN: 0.685568; expRES: 0.633113; netOUT: 0.634633

PASS: 995769; IN: 0.673299; expRES: 0.623569; netOUT: 0.6234

PASS: 995770; IN: 0.732994; expRES: 0.669097; netOUT: 0.670026

PASS: 995771; IN: 0.514115; expRES: 0.491764; netOUT: 0.4888

PASS: 995772; IN: 0.703665; expRES: 0.647017; netOUT: 0.649534

PASS: 995773; IN: 0.795526; expRES: 0.714232; netOUT: 0.715204

PASS: 995774; IN: 0.260537; expRES: 0.257599; netOUT: 0.258476

PASS: 995775; IN: 0.977233; expRES: 0.828953; netOUT: 0.824545

PASS: 995776; IN: 0.991363; expRES: 0.836773; netOUT: 0.83372

PASS: 995777; IN: 0.458052; expRES: 0.442202; netOUT: 0.443155

PASS: 995778; IN: 0.026307; expRES: 0.0263039; netOUT: 0.0321006

PASS: 995779; IN: 0.429487; expRES: 0.416404; netOUT: 0.416124

PASS: 995780; IN: 0.356517; expRES: 0.349013; netOUT: 0.350275

PASS: 995781; IN: 0.284494; expRES: 0.280671; netOUT: 0.282185

PASS: 995782; IN: 0.517502; expRES: 0.494711; netOUT: 0.492016

PASS: 995783; IN: 0.835597; expRES: 0.741697; netOUT: 0.745099

PASS: 995784; IN: 0.126316; expRES: 0.12598; netOUT: 0.121326

PASS: 995785; IN: 0.129826; expRES: 0.129461; netOUT: 0.125904

PASS: 995786; IN: 0.159703; expRES: 0.159025; netOUT: 0.158403

PASS: 995787; IN: 0.446425; expRES: 0.431743; netOUT: 0.432746

PASS: 995788; IN: 0.464614; expRES: 0.448078; netOUT: 0.447952

PASS: 995789; IN: 0.253059; expRES: 0.250367; netOUT: 0.253342

PASS: 995790; IN: 0.424604; expRES: 0.41196; netOUT: 0.410339

PASS: 995791; IN: 0.601428; expRES: 0.565821; netOUT: 0.56598

PASS: 995792; IN: 0.589831; expRES: 0.556221; netOUT: 0.556041

PASS: 995793; IN: 0.788385; expRES: 0.709215; netOUT: 0.711873

PASS: 995794; IN: 0.0408948; expRES: 0.0408834; netOUT: 0.0417337

PASS: 995795; IN: 0.220466; expRES: 0.218684; netOUT: 0.219118

PASS: 995796; IN: 0.924528; expRES: 0.798336; netOUT: 0.796548

PASS: 995797; IN: 0.421644; expRES: 0.409261; netOUT: 0.407809

PASS: 995798; IN: 0.590228; expRES: 0.55655; netOUT: 0.556486

