
PASS: 995775; IN: 0, 0; expOUT: 0; netOUT: 0.000783226

PASS: 995776; IN: 1, 1; expOUT: 0; netOUT: 0.000731945

PASS: 995777; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995778; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995779; IN: 1, 1; expOUT: 0; netOUT: 0.000731947

PASS: 995780; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995781; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995782; IN: 0, 0; expOUT: 0; netOUT: 0.000783234

PASS: 995783; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995784; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995785; IN: 1, 1; expOUT: 0; netOUT: 0.000731971

PASS: 995786; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995787; IN: 0, 0; expOUT: 0; netOUT: 0.000783239

PASS: 995788; IN: 0, 0; expOUT: 0; netOUT: 0.000783228

PASS: 995789; IN: 0, 0; expOUT: 0; netOUT: 0.000783217

PASS: 995790; IN: 0, 0; expOUT: 0; netOUT: 0.000783205

PASS: 995791; IN: 0, 0; expOUT: 0; netOUT: 0.000783194

PASS: 995792; IN: 0, 0; expOUT: 0; netOUT: 0.000783183

PASS: 995793; IN: 1, 1; expOUT: 0; netOUT: 0.000731935

PASS: 995794; IN: 0, 0; expOUT: 0; netOUT: 0.000783167

PASS: 995795; IN: 0, 0; expOUT: 0; netOUT: 0.000783156

PASS: 995796; IN: 1, 1; expOUT: 0; netOUT: 0.000731904

PASS: 995797; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995798; IN: 1, 1; expOUT: 0; netOUT: 0.000731893

PASS: 995799; IN: 1, 1; expOUT: 0; netOUT: 0.00073187

PASS: 995800; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995801; IN: 0, 0; expOUT: 0; netOUT: 0.000783146

PASS: 995802; IN: 0, 0; expOUT: 0; netOUT: 0.000783135

PASS: 995803; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995804; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995805; IN: 0, 0; expOUT: 0; netOUT: 0.000783137

PASS: 995806; IN: 1, 1; expOUT: 0; netOUT: 0.000731873

PASS: 995807; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995808; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995809; IN: 1, 1; expOUT: 0; netOUT: 0.000731875

PASS: 995810; IN: 0, 0; expOUT: 0; netOUT: 0.000783132

PASS: 995811; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995812; IN: 1, 1; expOUT: 0; netOUT: 0.000731861

PASS: 995813; IN: 0, 0; expOUT: 0; netOUT: 0.000783123

PASS: 995814; IN: 1, 1; expOUT: 0; netOUT: 0.000731833

PASS: 995815; IN: 1, 1; expOUT: 0; netOUT: 0.00073181

PASS: 995816; IN: 0, 0; expOUT: 0; netOUT: 0.000783104

PASS: 995817; IN: 1, 1; expOUT: 0; netOUT: 0.000731782

PASS: 995818; IN: 0, 0; expOUT: 0; netOUT: 0.000783089

PASS: 995819; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995820; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995821; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995822; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995823; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995824; IN: 0, 0; expOUT: 0; netOUT: 0.000783111

PASS: 995825; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995826; IN: 1, 1; expOUT: 0; netOUT: 0.000731828

PASS: 995827; IN: 0, 0; expOUT: 0; netOUT: 0.000783103

PASS: 995828; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995829; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995830; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995831; IN: 1, 1; expOUT: 0; netOUT: 0.000731839

PASS: 995832; IN: 1, 1; expOUT: 0; netOUT: 0.000731815

PASS: 995833; IN: 0, 0; expOUT: 0; netOUT: 0.000783104

